x1 = 1.6000
x2 = 2.4000
dx = .2000

y1 = .0000
y2 = 1.5000
dy = .5000

   x   |    y   |    f
1.6    | .0     | 1172.4
1.6    | .5     | 3.4
1.6    | 1.0    | .7
1.6    | 1.5    | .0
1.8    | .0     | 18.9
1.8    | .5     | 1.7
1.8    | 1.0    | .4
1.8    | 1.5    | -.2
2.0    | .0     | 5.3
2.0    | .5     | .9
2.0    | 1.0    | .1
2.0    | 1.5    | -.4
2.2    | .0     | 2.3
2.2    | .5     | .5
2.2    | 1.0    | -.1
2.2    | 1.5    | -.7
2.4    | .0     | 1.2
2.4    | .5     | .3
2.4    | 1.0    | -.3
2.4    | 1.5    | -1.3
